Ref,Value,Footprint,Domain,Populate,Note
A_SOFTSTART,AUTONOMOUS AC SOFT-START; 4x NTC 10D-20 + internal bypass relay,External_Module_4Wire,HV,YES,Ahead of bridge; no MCU control; verify actual terminal marking and current rating
BR1,KBPC5010,KBPC,HV,YES,Verify body marks + - ~ ~
C_ESTOP_AND,100nF,C_0603,HOT,YES,
C_ESTOP_INV,100nF,C_0603,HOT,YES,
C_FAN_BULK,100uF 25V,Electrolytic_Radial,HOT,YES,Place at fan header
C_FAN_HF,100nF 25V,C_1206,HOT,YES,Place at fan header
C_HV,"220uF 450V, optional if STEVAL C1 fitted",Electrolytic_SnapIn,HV,VERIFY,
C_LA1_HOT,100nF,C_0603,HOT,YES,
C_LA1_SAFE,100nF,C_0603,SAFE,YES,
C_LA2_HOT,100nF,C_0603,HOT,YES,
C_LA2_SAFE,100nF,C_0603,SAFE,YES,
C_UART_HOT,100nF,C_0603,HOT,YES,
C_UART_SAFE,100nF,C_0603,SAFE,YES,
F1,F1_VALUE_BY_LOAD slow-blow 250VAC,Fuse_5x20mm,HV,YES,
JP_HOT15_SRC,ONBOARD/EXTERNAL 15V SELECT,Jumper_1x03_P2.54mm,HOT,YES,Fit exactly one source position
JP_SAFE_3V3,UNOQ/EXT 3V3 SELECT,Jumper_1x03,SAFE,YES,
JP_UART_RX,UNOQ/PC RX SELECT,Jumper_1x03,SAFE,YES,
JP_UART_TX,UNOQ/PC TX SELECT,Jumper_1x03,SAFE,YES,
J_AC_IN,230VAC INPUT,TerminalBlock_1x03_P7.62mm,HV,YES,
J_AS5600,AS5600 I2C,Header_1x04_P2.54mm,HOT,YES,Inside insulated HV enclosure
J_ESTOP,NC PWM-INHIBIT LOOP / E-STOP AUX CONTACT,TerminalBlock_1x02_P5.08mm,SAFE,YES,Not a substitute for a mains safety contactor
J_FAN,4-PIN PWM FAN; 3-PIN = FULL SPEED,Fan_Header_1x04_P2.54mm,HOT,YES,"Pin order: GND, +12V, TACH, PWM"
J_HOT15_EXT,ISOLATED 15V BENCH INPUT - HV OFF,TerminalBlock_1x02_P5.08mm,HOT,YES,
J_J7,TO STEVAL J7,TerminalBlock_1x02_P10.16mm,HV,YES,
J_PC_UART,"USB-UART SAFE SIDE, 3.3V LOGIC",Header_1x03_P2.54mm,SAFE,YES,Do not connect adapter power pin
J_PE,PE / CHASSIS / MOTOR FRAME,Ring_Lug_M4,HV,YES,
J_SAFE_3V3,SAFE 3.3V INPUT,Header_1x02_P2.54mm,SAFE,YES,
J_SAFE_5V,SAFE 5V FOR E-STOP LOOP,Header_1x02_P2.54mm,SAFE,YES,
J_SAFE_DC_IN,UNO Q SAFE 7-24V,TerminalBlock_1x02_P5.08mm,SAFE,YES,
J_SALEAE,SAFE ISOLATED SALEAE,Header_1x09_P2.54mm,SAFE,YES,
J_STEVAL_J2,STEVAL-IPM15B J2,IDC_2x17_P2.54mm,HOT,YES,
J_STEVAL_J4,STEVAL J4 AUX,TerminalBlock_1x02_P5.08mm,HOT,YES,
J_SWD,HOT SWD - HV OFF ONLY,Header_1x05_P2.54mm,HOT,YES,
MOV1,S14K300,MOV_D14mm,HV,YES,Must be after F1
PS1,HLK-20M15,HLK-20M15,BARRIER,YES,"Output is HOT, not SELV"
Q_FAN_N,MMBT2222A-7-F (Diodes Inc.),SOT-23,HOT,YES,"Pin 1 B, pin 2 E, pin 3 C"
RB1,100K 0.5W HV-rated,R_Axial_10mm,HV,YES,
RB2,100K 0.5W HV-rated,R_Axial_10mm,HV,YES,
RB3,100K 0.5W HV-rated,R_Axial_10mm,HV,YES,
RB4,100K 0.5W HV-rated,R_Axial_10mm,HV,YES,
R_ADC_IA,100R,R_0603,HOT,YES,
R_ADC_IB,100R,R_0603,HOT,YES,
R_ADC_IC,100R,R_0603,HOT,YES,
R_ADC_PHASE_A,100R,R_0603,HOT,YES,
R_ADC_PHASE_B,100R,R_0603,HOT,YES,
R_ADC_TEMP,100R,R_0603,HOT,YES,
R_ADC_VBUS,100R,R_0603,HOT,YES,
R_BRAKE,100R,R_0603,HOT,YES,
R_BRAKE_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_ESTOP_LED,680R,R_0603,SAFE,YES,
R_ESTOP_OUT,220R,R_0603,HOT,YES,
R_ESTOP_PD,47K,R_0603,HOT,YES,
R_ESTOP_PULL,10K,R_0603,HOT,YES,
R_FAN_BASE,1K,R_0603,HOT,YES,
R_FAN_BPD,47K,R_0603,HOT,YES,
R_PB12_PD,47K,R_0603,HOT,YES,RUN command defaults LOW during MCU reset
R_PFC,100R,R_0603,HOT,YES,
R_PFC_PD,47K,R_0603,HOT,YES,Default LOW during reset
