Net,Ref,Pin,Domain,Component
AC_L,J_AC_IN,L,HV,230VAC INPUT
AC_L,F1,1,HV,F1_VALUE_BY_LOAD slow-blow 250VAC
AC_L_FUSED,F1,2,HV,F1_VALUE_BY_LOAD slow-blow 250VAC
AC_L_FUSED,MOV1,1,HV,S14K300
AC_L_FUSED,BR1,AC1,HV,KBPC5010
AC_L_FUSED,PS1,AC1,BARRIER,HLK-20M15
AC_N,J_AC_IN,N,HV,230VAC INPUT
AC_N,MOV1,2,HV,S14K300
AC_N,BR1,AC2,HV,KBPC5010
AC_N,PS1,AC2,BARRIER,HLK-20M15
ADC_IA,R_ADC_IA,2,HOT,100R
ADC_IA,U_BP,PA0,HOT,Blue Pill STM32F103C8T6
ADC_IB,R_ADC_IB,2,HOT,100R
ADC_IB,U_BP,PA1,HOT,Blue Pill STM32F103C8T6
ADC_IC,R_ADC_IC,2,HOT,100R
ADC_IC,U_BP,PA4,HOT,Blue Pill STM32F103C8T6
ADC_PHASE_A,R_ADC_PHASE_A,2,HOT,100R
ADC_PHASE_A,U_BP,PA6,HOT,Blue Pill STM32F103C8T6
ADC_PHASE_B,R_ADC_PHASE_B,2,HOT,100R
ADC_PHASE_B,U_BP,PA7,HOT,Blue Pill STM32F103C8T6
ADC_TEMP,R_ADC_TEMP,2,HOT,100R
ADC_TEMP,U_BP,PB0,HOT,Blue Pill STM32F103C8T6
ADC_VBUS,R_ADC_VBUS,2,HOT,100R
ADC_VBUS,U_BP,PA5,HOT,Blue Pill STM32F103C8T6
BLEEDER_1,RB1,2,HV,100K 0.5W HV-rated
BLEEDER_1,RB2,1,HV,100K 0.5W HV-rated
BLEEDER_2,RB2,2,HV,100K 0.5W HV-rated
BLEEDER_2,RB3,1,HV,100K 0.5W HV-rated
BLEEDER_3,RB3,2,HV,100K 0.5W HV-rated
BLEEDER_3,RB4,1,HV,100K 0.5W HV-rated
BP_PA10_RAW,U_BP,PA10,HOT,Blue Pill STM32F103C8T6
