Ref,MPN,LogicalPort,PhysicalPin,PinName,Net,Verification,Source,Note
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,GND_SAFE,"1,7",GND1,SAFE_GND,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,VCC_SAFE,3,VCC1,SAFE_3V3,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,RX_SAFE_OUT,4,OUTA,SAFE_UART_RX,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,TX_SAFE_IN,5,INB,SAFE_UART_TX,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,GND_HOT,"9,16",GND2,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,RX_HOT_OUT,12,OUTB,BP_RX_PA3,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,TX_HOT_IN,13,INA,BP_TX_PA2,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,VCC_HOT,14,VCC2,HOT_3V3,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,PHYSICAL_NC,"2,6,8,10,11,15",NC,NC,DATASHEET_VERIFIED,"TI ISO7721 Rev.G, Figure 5-2/Table 5-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,VCC_HOT,1,VCC1,HOT_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,GND_HOT,"2,8",GND1,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,HI1,3,INA,PWM_UH,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,HI2,4,INB,PWM_UL,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,HI3,5,INC,PWM_VH,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,HI4,6,IND,PWM_VL,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,GND_SAFE,"9,15",GND2,SAFE_GND,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,EN_SAFE,10,EN2,SAFE_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,SO4,11,OUTD,SAFE_LA_CH3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,SO3,12,OUTC,SAFE_LA_CH2,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,SO2,13,OUTB,SAFE_LA_CH1,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,SO1,14,OUTA,SAFE_LA_CH0,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,VCC_SAFE,16,VCC2,SAFE_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA1,ISO7740FDWR reinforced 4/0 monitor,PHYSICAL_NC,7,NC,NC,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,VCC_HOT,1,VCC1,HOT_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,GND_HOT,"2,8",GND1,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,HI1,3,INA,PWM_WH,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,HI2,4,INB,PWM_WL,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,HI3,5,INC,PB12_RUN,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
