Section,SourceRef,SourceContact,Signal,DestinationRef,DestinationContact,State,Note
UART,UNO_Q,D1 / PB6 / USART1_TX,UART_CMD,NUCLEO_G431RB,PB7 / CN7-21 / USART1_RX,USED,"direct 3.3 V UART, 115200 8N1"
UART,NUCLEO_G431RB,PB6 / CN10-17 / USART1_TX,UART_TELEMETRY,UNO_Q,D0 / PB7 / USART1_RX,USED,"direct 3.3 V UART, 115200 8N1"
UART,UNO_Q,GND,HOT_GND,NUCLEO_G431RB,GND,USED,common reference; UNO Q becomes HOT
WIRELESS,PHONE_OR_PC,Wi-Fi client,HTTPS/HTTP HMI,UNO_Q,wlan0,USED,no galvanic connection to inverter
LOGS,UNO_Q,eMMC log store,LOG_ARCHIVE,PHONE_OR_PC,Wi-Fi download,USED,download only over Wi-Fi while HV is present
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-1,PA6/PA11 — DIAG/ENABLE/BKIN1,STEVAL_IPM15B,J2-1,USED: PA6/TIM1_BKIN,Emergency stop
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-2,GND,STEVAL_IPM15B,J2-2,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-3,PA8 — UH_PWM,STEVAL_IPM15B,J2-3,USED,PWM-1H
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-4,GND,STEVAL_IPM15B,J2-4,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-5,PA7/PB15 — UL_PWM,STEVAL_IPM15B,J2-5,USED: PA7,PWM-1L
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-6,GND,STEVAL_IPM15B,J2-6,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-7,PA9 — VH_PWM,STEVAL_IPM15B,J2-7,USED,PWM-2H
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-8,GND,STEVAL_IPM15B,J2-8,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-9,PB0 — VL_PWM,STEVAL_IPM15B,J2-9,USED,PWM-2L
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-10,GND,STEVAL_IPM15B,J2-10,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-11,PA10 — WH_PWM,STEVAL_IPM15B,J2-11,USED,PWM-3H
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-12,GND,STEVAL_IPM15B,J2-12,USED: HOT_GND,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-13,PB1 — WL_PWM,STEVAL_IPM15B,J2-13,USED,PWM-3L
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-14,PA1 — VBUS_sensing,STEVAL_IPM15B,J2-14,USED,HV bus voltage
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-15,PA0 — Curr_fdbk_PhA,STEVAL_IPM15B,J2-15,USED,Current phase A
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-16,NC on IHM09M2,STEVAL_IPM15B,J2-16,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-17,PC1 — Curr_fdbk_PhB,STEVAL_IPM15B,J2-17,USED,Current phase B
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-18,NC on IHM09M2,STEVAL_IPM15B,J2-18,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-19,PC0 — Curr_fdbk_PhC,STEVAL_IPM15B,J2-19,USED,Current phase C
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-20,NC on IHM09M2,STEVAL_IPM15B,J2-20,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-21,PC10 — NTC bypass,STEVAL_IPM15B,J2-21,UNUSED S1; NO EXT RELAY,NTC bypass relay
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-22,NC on IHM09M2,STEVAL_IPM15B,J2-22,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-23,PC11 — brake/OCP disable,STEVAL_IPM15B,J2-23,UNUSED S1,Dissipative brake PWM
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-24,NC on IHM09M2,STEVAL_IPM15B,J2-24,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-25,E5V,STEVAL_IPM15B,J2-25,USED: NUCLEO VIN REQUIRED,+V power
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-26,PC2 — Temperature feedback,STEVAL_IPM15B,J2-26,USED,Heat sink temperature
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-27,NC on IHM09M2,STEVAL_IPM15B,J2-27,UNUSED,PFC sync
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-28,+3V3 per IHM09M2 schematic,STEVAL_IPM15B,J2-28,USED: 3.3 V POWER,VDD_m
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-29,NC on IHM09M2,STEVAL_IPM15B,J2-29,UNUSED,PWM VREF
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-30,NC on IHM09M2,STEVAL_IPM15B,J2-30,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-31,PA15 — Encoder A/Hall H1,STEVAL_IPM15B,J2-31,UNUSED S1,Measure phase A
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-32,NC on IHM09M2,STEVAL_IPM15B,J2-32,CABLE ONLY,GND
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-33,PB3 — Encoder B/Hall H2,STEVAL_IPM15B,J2-33,UNUSED S1,Measure phase B
FC34_1_TO_1,X_NUCLEO_IHM09M2,J7-34,PB10 — Encoder Z/Hall H3,STEVAL_IPM15B,J2-34,UNUSED S1,Measure phase C
AUX_POWER,PS_15V,+15V,HOT_15V,STEVAL_IPM15B,J4 positive,USED,J4 accepts up to 20 VDC
AUX_POWER,PS_15V,0V,HOT_GND,STEVAL_IPM15B,J4 negative,USED,becomes HOT in assembled inverter
UNOQ_POWER,PS_15V,+15V,HOT_15V,UNO_Q,VIN,USED,UNO Q VIN accepts 7-24 V; size supply for wireless peaks
UNOQ_POWER,PS_15V,0V,HOT_GND,UNO_Q,GND,USED,UNO Q is enclosed HOT equipment
NUCLEO_POWER,PS_15V,+15V,HOT_15V,BUCK_9V,IN+,USED,derive 7-12 V for Nucleo VIN
NUCLEO_POWER,BUCK_9V,OUT+ 9V,NUCLEO_VIN,NUCLEO_G431RB,VIN / CN7-24,USED,JP5 1-2 per ST ACIM guide
HV,RECTIFIER,+,DC_BUS_PLUS,STEVAL_IPM15B,J7-1 positive,USED,125-400 VDC board range
HV,RECTIFIER,-,DC_BUS_MINUS,STEVAL_IPM15B,J7-2 negative,USED,non-isolated rectified mains is HOT
HOT_REFERENCE,STEVAL_IPM15B,J2 GND / J4 negative,HOT_GND_EQUALS_DC_MINUS,STEVAL_IPM15B,J7-2 DC-,INTERNAL,UM2014: VDC- is the common reference ground; board circuits are not line-isolated
MOTOR,STEVAL_IPM15B,J3-1 phase A,MOTOR_U,AIR56B2,U1,USED,delta 220 V
MOTOR,STEVAL_IPM15B,J3-2 phase B,MOTOR_V,AIR56B2,V1,USED,delta 220 V
MOTOR,STEVAL_IPM15B,J3-3 phase C,MOTOR_W,AIR56B2,W1,USED,delta 220 V
MOTOR,AIR56B2,U1,DELTA_LINK_1,AIR56B2,W2,USED,terminal bridge
MOTOR,AIR56B2,V1,DELTA_LINK_2,AIR56B2,U2,USED,terminal bridge
MOTOR,AIR56B2,W1,DELTA_LINK_3,AIR56B2,V2,USED,terminal bridge
PE,AC_INPUT,PE,PROTECTIVE_EARTH,AIR56B2,frame/PE stud,USED,also bond metal enclosure
AS5600_S3,UNO_Q,QWIIC +3V3 OUT,HOT_3V3,AS5600,VCC,OPTION S3,not active in first S1 start
AS5600_S3,UNO_Q,QWIIC GND,HOT_GND,AS5600,GND,OPTION S3,sensor and cable remain inside enclosure
AS5600_S3,UNO_Q,PD13 / I2C4_SDA,HOT_AS5600_SDA,AS5600,SDA,OPTION S3,use pull-ups once
AS5600_S3,UNO_Q,PD12 / I2C4_SCL,HOT_AS5600_SCL,AS5600,SCL,OPTION S3,use pull-ups once
