k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,deadbeat_current_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.8935973471085157,0.0225,0.0,25.0,0,540.0
1,0.0001,load_step,deadbeat_current_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.919086534013519,0.016874999999999998,0.0,25.0,0,540.0
2,0.0002,load_step,deadbeat_current_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9386794329696249,0.01265625,0.0,25.0,0,540.0
3,0.00030000000000000003,load_step,deadbeat_current_baseline,2.771993517873347,0.0,2.771993517873347,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9536477242692896,0.009492187499999999,0.0,25.0,0,540.0
4,0.0004,load_step,deadbeat_current_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9650303733880072,0.007119140624999999,0.0,25.0,0,540.0
5,0.0005,load_step,deadbeat_current_baseline,4.619989196455578,0.0,4.619989196455578,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9736564314573587,0.00533935546875,0.0,25.0,0,540.0
6,0.0006000000000000001,load_step,deadbeat_current_baseline,5.543987035746694,0.0,5.543987035746694,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9801765377224032,0.0040045166015625,0.0,25.0,0,540.0
7,0.0007,load_step,deadbeat_current_baseline,6.467984875037811,0.0,6.467984875037811,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9801986733067553,0.004,0.0,25.0,0,540.0
8,0.0008,load_step,deadbeat_current_baseline,7.391982714328925,0.0,7.391982714328925,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9801986733067553,0.004,0.0,25.0,0,540.0
9,0.0009000000000000001,load_step,deadbeat_current_baseline,8.315980553620042,0.0,8.315980553620042,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0.9801986733067553,0.004,0.0,25.0,0,540.0
