k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,dtc_hysteresis_baseline,0.0,0.0,0.0,0.0,-0.18135426080153716,-0.3141147938773592,0.36270852160307426,0.0,1,1,1,1,1,0,0,0.8935973471085157,0.0,0.0,25.0,1,540.0
1,0.0001,load_step,dtc_hysteresis_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.019440172057110967,0.033671365710796985,0.03888034411422194,-3.049318610115481e-20,6,1,1,1,1,0,0,0.919086534013519,0.0,0.031229907551456635,25.000000312299075,3,540.0
2,0.0002,load_step,dtc_hysteresis_baseline,1.8479956785822313,-1.824831782209831e-21,1.8479956785822313,0.0,0.19497275482202703,0.33770271744342073,0.38994550964405417,0.0,6,1,1,1,1,0,0,0.9386052230201811,0.0,0.00018134989372064355,25.000000314110494,0,540.0
3,0.00030000000000000003,load_step,dtc_hysteresis_baseline,2.771993517873347,-1.8246915779167058e-21,2.771993517873347,0.0,-0.006986400700818995,-0.012100800975853218,0.01397280140163791,5.336307567702092e-20,1,1,1,1,1,0,0,0.9535817637290527,0.0,0.03484638864095825,25.000000662572287,3,540.0
4,0.0004,load_step,dtc_hysteresis_baseline,3.6959913571644627,1.3689042344715388e-21,3.6959913571644627,0.0,-0.18358408289410558,-0.31797695903352713,0.36716816578821104,0.0,1,1,1,1,1,0,0,0.9648970039893109,0.0,2.3451553855829715e-05,25.000000662802385,0,540.0
5,0.0005,load_step,dtc_hysteresis_baseline,4.619989196455578,1.3687990597083515e-21,4.619989196455578,0.0,0.017401075270033938,0.03013954647402923,0.03480215054006799,-4.472333961502706e-19,6,1,1,1,1,0,0,0.9735500148737484,0.0,0.03180986763706189,25.000000980896644,3,540.0
6,0.0006000000000000001,load_step,dtc_hysteresis_baseline,5.543987035746694,-2.5395505579384976e-20,5.543987035746694,0.0,0.1931080698568864,0.3344729883436873,0.38621613971377283,-2.6020852139652106e-18,6,1,1,1,1,0,0,0.9800155376673387,0.0,0.00014531368909003866,25.00000098234324,0,540.0
7,0.0007,load_step,dtc_hysteresis_baseline,6.467984875037811,-1.811125331569271e-19,6.467984875037811,0.0,0.35401692963174464,0.6131753088617178,0.7080338592634894,1.0408340855860843e-17,6,1,1,0,1,1,0,0.9801698260980334,0.0,0.017937555202368033,25.000001161712245,0,540.0
8,0.0008,load_step,dtc_hysteresis_baseline,7.391982714328925,4.41777296958161e-19,7.391982714328925,0.0,-0.04266950590402327,0.5543238355950901,0.5559636691753752,0.004558819156866813,3,1,1,1,1,0,0,0.9801598288530186,0.0,0.0803498139062376,25.00000196520264,2,540.0
9,0.0009000000000000001,load_step,dtc_hysteresis_baseline,8.315980553620042,0.0002728176078157522,8.315707736012227,0.0,-0.2162207401847031,0.18638154868306916,0.2854636407242088,0.006053141424223707,1,1,1,1,1,0,0,0.9801394033342654,0.0,0.045063286561907334,25.000002415822404,1,540.0
10,0.001,load_step,dtc_hysteresis_baseline,9.239978392911157,0.0006350403565464474,9.239343352554611,0.0,-0.37515822328431847,-0.15050811546019663,0.40422318750564823,0.00923870909618239,1,1,1,1,1,0,0,0.980127654266042,0.0,0.00980672355305155,25.000002513873536,0,540.0
11,0.0011,load_step,dtc_hysteresis_baseline,10.163976232202273,0.0011878721313586674,10.162788360070914,0.0,0.02749541026350991,-0.13767318901119283,0.14039196756962397,-7.345586946000873e-05,4,1,1,1,1,0,0,0.9801276155499066,0.0,0.031087776227324233,25.00000282473454,2,540.0
12,0.0012000000000000001,load_step,dtc_hysteresis_baseline,11.087974071493388,0.0011833849783789954,11.086790686515009,0.0,0.38369870844470366,-0.11872305325667594,0.4016464393427648,-0.0074304838890185895,4,1,1,1,1,0,0,0.9801230914848558,0.0,0.0023645101184859834,25.00000284836081,0,540.0
13,0.0013000000000000002,load_step,dtc_hysteresis_baseline,12.011971910784503,0.0007386247756919494,12.01123328600881,0.0,0.16167429690002869,0.20551740471756585,0.2614880148686788,-0.0022878421472161807,2,1,1,1,1,0,0,0.9801292067076162,0.0,0.030767610881675025,25.000003156017932,2,540.0
14,0.0014,load_step,dtc_hysteresis_baseline,12.935969750075621,0.0006016545842742935,12.935368095491347,0.0,-0.218796630570492,0.1811056261319223,0.2840267828315421,0.0059131798337957,3,1,1,1,1,0,0,0.980124605877057,0.0,0.011936436790086597,25.00000327536126,1,540.0
15,0.0015,load_step,dtc_hysteresis_baseline,13.859967589366736,0.0009554762178286714,13.859012113148907,0.0,-0.3775192095134887,-0.155342504987686,0.40823038520857147,0.009134631932910487,1,1,1,1,1,0,0,0.9801260136176937,0.0,0.013730469293683191,25.000003412644116,1,540.0
16,0.0016,load_step,dtc_hysteresis_baseline,14.78396542865785,0.0015020549877129113,14.782463373670138,0.0,0.025330949836760645,-0.14210380550103954,0.1443438552814416,7.084820352561095e-05,4,1,1,1,1,0,0,0.980126278587779,0.0,0.031593109186789155,25.000003728552457,2,540.0
17,0.0017000000000000001,load_step,dtc_hysteresis_baseline,15.707963267948966,0.001506179417004124,15.70645708853196,0.0,0.3817139660555358,-0.12278442631196973,0.4009757688771309,-0.007042724391715573,4,1,1,1,1,0,0,0.9801218126686871,0.0,0.0024998305358136,25.000003753525906,0,540.0
18,0.0018000000000000002,load_step,dtc_hysteresis_baseline,16.631961107240084,0.0010845994618260057,16.630876507778257,0.0,0.15985390290326837,0.20179369729520227,0.2574373060406655,-0.002240027703929169,2,1,1,1,1,0,0,0.9801279735674354,0.0,0.030683469814146526,25.00000406033558,2,540.0
