k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,dtc_svm_baseline,0.0,0.0,0.0,0.0,0.3627085216030743,0.0,0.3627085216030743,0.0,4,1,1,1,1,0,0,0.8935973471085157,0.0225,0.0,25.0,1,540.0
1,0.0001,load_step,dtc_svm_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.6865366990919267,0.0,0.6865366990919267,0.0,4,1,1,1,1,0,0,0.919086534013519,0.016874999999999998,0.015823606818430164,25.00000015823607,0,540.0
2,0.0002,load_step,dtc_svm_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,0.9831278885397993,0.0,0.9831278885397993,0.0,4,1,1,1,1,0,0,0.9386052230201811,0.012669317924795868,0.05669980855499973,25.0000007252331,0,540.0
3,0.00030000000000000003,load_step,dtc_svm_baseline,2.771993517873347,0.0,2.771993517873347,0.0,1.254811535275088,0.0,1.254811535275088,0.0,4,1,1,1,1,0,0,0.9534472040977185,0.009526719149498706,0.11628921101913225,25.000001888120376,0,540.0
4,0.0004,load_step,dtc_svm_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,1.5037178381545335,0.0,1.5037178381545335,0.0,4,1,1,1,1,0,0,0.9646678797902402,0.036168812213420616,0.18947122199850783,25.00000378282001,0,540.0
5,0.0005,load_step,dtc_svm_baseline,4.619989196455578,0.0,4.619989196455578,0.0,1.7317947918955492,0.0,1.7317947918955492,0.0,4,1,1,1,1,0,0,0.9731093313675299,0.16866686351200413,0.27213688676808506,25.000006504163657,0,540.0
6,0.0006000000000000001,load_step,dtc_svm_baseline,5.543987035746694,0.0,5.543987035746694,0.0,1.9408237717110035,0.0,1.9408237717110035,0.0,4,1,1,1,1,0,0,0.9794321777886172,0.2904208724009808,0.3610086648602091,25.000010114206944,0,540.0
7,0.0007,load_step,dtc_svm_baseline,6.467984875037811,0.0,6.467984875037811,0.0,1.7697252633259757,0.0,1.7697252633259757,0.0,0,1,1,1,1,0,0,0.9800119375092563,0.1956150290937263,0.4809830923679206,25.00001492397044,1,540.0
8,0.0008,load_step,dtc_svm_baseline,7.391982714328925,0.0,7.391982714328925,0.0,1.6132489421761507,0.0,1.6132489421761507,0.0,0,1,1,1,1,0,0,0.9799680720303674,0.10368100656477552,0.3772068735345945,25.000018695939684,0,540.0
9,0.0009000000000000001,load_step,dtc_svm_baseline,8.315980553620042,0.0,8.315980553620042,0.0,1.4701441217764564,0.0,1.4701441217764564,0.0,0,1,1,1,1,0,0,0.9799371544386883,0.019602504319879973,0.3135873786876537,25.00002183168883,0,540.0
10,0.001,load_step,dtc_svm_baseline,9.239978392911157,0.0,9.239978392911157,0.0,1.3392670917600802,0.0,1.3392670917600802,0.0,0,1,1,1,1,0,0,0.9799166974472938,0.004,0.2605443317076142,25.000024436986603,0,540.0
11,0.0011,load_step,dtc_svm_baseline,10.163976232202273,0.0,10.163976232202273,0.0,1.2195719677913952,0.0,1.2195719677913952,0.0,0,1,1,1,1,0,0,0.9799046338219101,0.004,0.21633272008580431,25.00002660015089,0,540.0
12,0.0012000000000000001,load_step,dtc_svm_baseline,11.087974071493388,0.0,11.087974071493388,0.0,1.1101023241217312,0.0,1.1101023241217312,0.0,0,1,1,1,1,0,0,0.9798992492353019,0.004,0.17949436314199585,25.000028394917187,0,540.0
13,0.0013000000000000002,load_step,dtc_svm_baseline,12.011971910784503,0.0,12.011971910784503,0.0,1.0099835418454715,0.0,1.0099835418454715,0.0,0,1,1,1,1,0,0,0.9798991255874197,0.004,0.1488108534143502,25.000029882836422,0,540.0
14,0.0014,load_step,dtc_svm_baseline,12.935969750075621,0.0,12.935969750075621,0.0,1.2811243332429074,0.0,1.2811243332429074,0.0,4,1,1,1,1,0,0,0.9799030931751956,0.004,0.13759740192925268,25.000031258611223,1,540.0
15,0.0015,load_step,dtc_svm_baseline,13.859967589366736,0.0,13.859967589366736,0.0,1.1668247748445324,0.0,1.1668247748445324,0.0,0,1,1,1,1,0,0,0.9799101903460647,0.004,0.21635269540843174,25.000033421929786,1,540.0
16,0.0016,load_step,dtc_svm_baseline,14.78396542865785,0.0,14.78396542865785,0.0,1.062288972083135,0.0,1.062288972083135,0.0,0,1,1,1,1,0,0,0.9799061837805647,0.004,0.16450529193261537,25.000035066759892,0,540.0
17,0.0017000000000000001,load_step,dtc_svm_baseline,15.707963267948966,0.0,15.707963267948966,0.0,0.9666817992902464,0.0,0.9666817992902464,0.0,0,1,1,1,1,0,0,0.9799070306457855,0.004,0.1364512117330121,25.000036431038232,0,540.0
18,0.0018000000000000002,load_step,dtc_svm_baseline,16.631961107240084,0.0,16.631961107240084,0.0,0.8792395623686591,0.0,0.8792395623686591,0.0,0,1,1,1,1,0,0,0.9799116395583793,0.004,0.11308756098648529,25.00003756167097,0,540.0
19,0.0019,load_step,dtc_svm_baseline,17.5559589465312,0.0,17.5559589465312,0.0,0.7992638889699006,0.0,0.7992638889699006,0.0,0,1,1,1,1,0,0,0.9799191139591127,0.004,0.09363834324270913,25.00003849780399,0,540.0
20,0.002,load_step,dtc_svm_baseline,18.479956785822313,0.0,18.479956785822313,0.0,0.7261161412688024,0.0,0.7261161412688024,0.0,0,1,1,1,1,0,0,0.9799287202086661,0.004,0.07745528568719252,25.000039272100192,0,540.0
21,0.0021000000000000003,load_step,dtc_svm_baseline,19.40395462511343,0.0,19.40395462511343,0.0,0.6592123066353734,0.0,0.6592123066353734,0.0,0,1,1,1,1,0,0,0.9799398607056826,0.004,0.06399687052581854,25.000039911807082,0,540.0
