k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,fcs_mpc_one_step_baseline,0.0,0.0,0.0,0.0,-0.18135426080153716,-0.3141147938773592,0.36270852160307426,0.0,1,1,1,1,1,0,0,0.8935973471085157,0.0,0.0,25.0,1,540.0
1,0.0001,load_step,fcs_mpc_one_step_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,-0.34326834954596336,-0.5945582220439215,0.6865366990919267,0.0,1,1,1,1,1,0,0,0.919086534013519,0.0,0.015823606818430154,25.00000015823607,0,540.0
2,0.0002,load_step,fcs_mpc_one_step_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,-0.49156394426989963,-0.8514137266444223,0.9831278885397993,0.0,1,1,1,1,1,0,0,0.9386052230201811,0.0,0.05669980855499973,25.0000007252331,0,540.0
3,0.00030000000000000003,load_step,fcs_mpc_one_step_baseline,2.771993517873347,0.0,2.771993517873347,0.0,-0.627405767637544,-1.0866986665099794,1.254811535275088,0.0,1,1,1,1,1,0,0,0.9534472040977185,0.0,0.11628921101913227,25.000001888120376,0,540.0
4,0.0004,load_step,fcs_mpc_one_step_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,-0.7518589190772668,-1.302257847965643,1.5037178381545335,0.0,1,1,1,1,1,0,0,0.9646678797902402,0.02898836454017928,0.18947122199850783,25.00000378282001,0,540.0
5,0.0005,load_step,fcs_mpc_one_step_baseline,4.619989196455578,0.0,4.619989196455578,0.0,-0.5031888743447004,-1.499778283923131,1.5819399306521404,0.02669903661978637,5,1,1,1,1,0,0,0.9731093313675299,0.07706843819576525,0.2934338696047877,25.000006717133488,1,540.0
6,0.0006000000000000001,load_step,fcs_mpc_one_step_baseline,5.543987035746694,0.0015977750050961445,5.542389260741598,0.0,-0.09419206361411576,-1.3666878966931,1.3699299076285967,0.06077527507554033,4,1,1,1,1,0,0,0.9794321777886172,0.0,0.32365872987059086,25.000009953676006,1,540.0
7,0.0007,load_step,fcs_mpc_one_step_baseline,6.467984875037811,0.005234682930786293,6.462750192107024,0.0,0.2802998414634548,-1.2449705460831268,1.276134656585643,0.10076046289769426,4,1,1,1,1,0,0,0.9800170931720671,0.0,0.22599651573453905,25.000012213574806,0,540.0
8,0.0008,load_step,fcs_mpc_one_step_baseline,7.391982714328925,0.011264181799469303,7.380718532529456,0.0,0.6149088465433106,-1.133653381327015,1.289683247371772,0.14416626933800347,4,1,1,1,1,0,0,0.9799912687193795,0.0,0.196141239690708,25.00001417490578,0,540.0
9,0.0009000000000000001,load_step,fcs_mpc_one_step_baseline,8.315980553620042,0.019890791011256417,8.296089762608785,0.0,0.9213637177956824,-1.031846794412211,1.3833361513417617,0.19105208333443566,4,1,1,1,1,0,0,0.9799685338489541,0.0,0.2003158000993146,25.00001617796928,0,540.0
