k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,foc_svm_key_baseline,0.0,0.0,0.0,0.0,0.3627085216030743,0.0,0.3627085216030743,0.0,4,1,1,1,1,0,0,0.8935973471085157,0.028124999999999997,0.0,25.0,1,540.0
1,0.0001,load_step,foc_svm_key_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.6865366990919267,0.0,0.6865366990919267,0.0,4,1,1,1,1,0,0,0.919086534013519,0.021093749999999998,0.015823606818430164,25.00000015823607,0,540.0
2,0.0002,load_step,foc_svm_key_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,0.9831278885397993,0.0,0.9831278885397993,0.0,4,1,1,1,1,0,0,0.9386052230201811,0.015836647405994834,0.05669980855499973,25.0000007252331,0,540.0
3,0.00030000000000000003,load_step,foc_svm_key_baseline,2.771993517873347,0.0,2.771993517873347,0.0,1.254811535275088,0.0,1.254811535275088,0.0,4,1,1,1,1,0,0,0.9534472040977185,0.011908398936873382,0.11628921101913225,25.000001888120376,0,540.0
4,0.0004,load_step,foc_svm_key_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,1.5037178381545335,0.0,1.5037178381545335,0.0,4,1,1,1,1,0,0,0.9646678797902402,0.03796392413173092,0.18947122199850783,25.00000378282001,0,540.0
5,0.0005,load_step,foc_svm_key_baseline,4.619989196455578,0.0,4.619989196455578,0.0,1.7317947918955492,0.0,1.7317947918955492,0.0,4,1,1,1,1,0,0,0.9731093313675299,0.17002449370071845,0.27213688676808506,25.000006504163657,0,540.0
6,0.0006000000000000001,load_step,foc_svm_key_baseline,5.543987035746694,0.0,5.543987035746694,0.0,1.9408237717110035,0.0,1.9408237717110035,0.0,4,1,1,1,1,0,0,0.9794321777886172,0.29145262949870965,0.3610086648602091,25.000010114206944,0,540.0
7,0.0007,load_step,foc_svm_key_baseline,6.467984875037811,0.0,6.467984875037811,0.0,2.13243378492905,0.0,2.13243378492905,0.0,4,1,1,1,1,0,0,0.9800119375092563,0.40411788092843737,0.45349094368021303,25.000014649048953,0,540.0
8,0.0008,load_step,foc_svm_key_baseline,7.391982714328925,0.0,7.391982714328925,0.0,2.3081145036160002,0.0,2.3081145036160002,0.0,4,1,1,1,1,0,0,0.9799680720303674,0.5075836091769148,0.5475461527752191,25.00002012441282,0,540.0
9,0.0009000000000000001,load_step,foc_svm_key_baseline,8.315980553620042,0.0,8.315980553620042,0.0,2.4692281824678375,0.0,2.4692281824678375,0.0,4,1,1,1,1,0,0,0.9799237084986457,0.602491329002601,0.6415921922781037,25.00002654020058,0,540.0
10,0.001,load_step,foc_svm_key_baseline,9.239978392911157,0.0,9.239978392911157,0.0,2.2543120357146367,0.0,2.2543120357146367,0.0,0,1,1,1,1,0,0,0.9798795147763687,0.4820700360778267,0.769403729452715,25.00003423406094,1,540.0
11,0.0011,load_step,foc_svm_key_baseline,10.163976232202273,0.0,10.163976232202273,0.0,2.0577652500114776,0.0,2.0577652500114776,0.0,0,1,1,1,1,0,0,0.9798360077456402,0.36659493309293123,0.6124072675482811,25.000040357905387,0,540.0
12,0.0012000000000000001,load_step,foc_svm_key_baseline,11.087974071493388,0.0,11.087974071493388,0.0,1.8780166287729054,0.0,1.8780166287729054,0.0,0,1,1,1,1,0,0,0.9798070244627637,0.26098845401469317,0.510520979651211,25.00004546284613,0,540.0
13,0.0013000000000000002,load_step,foc_svm_key_baseline,12.011971910784503,0.0,12.011971910784503,0.0,1.7136293660178217,0.0,1.7136293660178217,0.0,0,1,1,1,1,0,0,0.9797897018162307,0.16440650112251953,0.4254516751307535,25.000049717059795,0,540.0
14,0.0014,load_step,foc_svm_key_baseline,12.935969750075621,0.0,12.935969750075621,0.0,1.563289551413862,0.0,1.563289551413862,0.0,0,1,1,1,1,0,0,0.9797816651264962,0.07607717568307526,0.3544347780101092,25.00005326107613,0,540.0
15,0.0015,load_step,foc_svm_key_baseline,13.859967589366736,0.0,13.859967589366736,0.0,1.7885041801335004,0.0,1.7885041801335004,0.0,4,1,1,1,1,0,0,0.9797809496816984,0.2027974543223683,0.31733883077157166,25.000056434109364,1,540.0
16,0.0016,load_step,foc_svm_key_baseline,14.78396542865785,0.0,14.78396542865785,0.0,1.6322059720394353,0.0,1.6322059720394353,0.0,0,1,1,1,1,0,0,0.9797859345404419,0.1168130333785431,0.41159205931488424,25.000060549653732,1,540.0
17,0.0017000000000000001,load_step,foc_svm_key_baseline,15.707963267948966,0.0,15.707963267948966,0.0,1.48926309735345,0.0,1.48926309735345,0.0,0,1,1,1,1,0,0,0.9797818427088394,0.03282915121288698,0.3218802720554793,25.000063768052787,0,540.0
18,0.0018000000000000002,load_step,foc_svm_key_baseline,16.631961107240084,0.0,16.631961107240084,0.0,1.3585332290523897,0.0,1.3585332290523897,0.0,0,1,1,1,1,0,0,0.9797841793395282,0.005,0.2681658173547876,25.00006644928584,0,540.0
19,0.0019,load_step,foc_svm_key_baseline,17.5559589465312,0.0,17.5559589465312,0.0,1.23897174782122,0.0,1.23897174782122,0.0,0,1,1,1,1,0,0,0.9797914832152058,0.005,0.22333016458535965,25.00006868214449,0,540.0
20,0.002,load_step,foc_svm_key_baseline,18.479956785822313,0.0,18.479956785822313,0.0,1.1296233847294321,0.0,1.1296233847294321,0.0,0,1,1,1,1,0,0,0.9798025548686826,0.005,0.18591274733860816,25.000070540814082,0,540.0
21,0.0021000000000000003,load_step,foc_svm_key_baseline,19.40395462511343,0.0,19.40395462511343,0.0,1.0296145787421227,0.0,1.0296145787421227,0.0,0,1,1,1,1,0,0,0.9798164136457876,0.005,0.1546927012214613,25.000072087270823,0,540.0
22,0.0022,load_step,foc_svm_key_baseline,20.327952464404547,0.0,20.327952464404547,0.0,0.938146487923135,0.0,0.938146487923135,0.0,0,1,1,1,1,0,0,0.9798322615362409,0.005,0.12864956992641913,25.00007337328594,0,540.0
23,0.0023,load_step,foc_svm_key_baseline,21.25195030369566,0.0,21.25195030369566,0.0,0.8544885984174079,0.0,0.8544885984174079,0.0,0,1,1,1,1,0,0,0.9798494527247998,0.005,0.10693044909734706,25.000074442101276,0,540.0
24,0.0024000000000000002,load_step,foc_svm_key_baseline,22.175948142986776,0.0,22.175948142986776,0.0,1.1406814016852176,0.0,1.1406814016852176,0.0,4,1,1,1,1,0,0,0.97986746797636,0.005,0.1009895806579003,25.000075451500802,1,540.0
25,0.0025,load_step,foc_svm_key_baseline,23.09994598227789,0.0,23.09994598227789,0.0,1.040145481846542,0.0,1.040145481846542,0.0,0,1,1,1,1,0,0,0.9798858931050568,0.005,0.17408762190230376,25.00007719187401,1,540.0
26,0.0026000000000000003,load_step,foc_svm_key_baseline,24.023943821569006,0.0,24.023943821569006,0.0,0.9481951444365061,0.0,0.9481951444365061,0.0,0,1,1,1,1,0,0,0.9798909554020973,0.005,0.13141327324003604,25.00007850549213,0,540.0
27,0.0027,load_step,foc_svm_key_baseline,24.947941660860124,0.0,24.947941660860124,0.0,0.8640960380416436,0.0,0.8640960380416436,0.0,0,1,1,1,1,0,0,0.979898998436034,0.005,0.10934086750161955,25.000079598377436,0,540.0
28,0.0028,load_step,foc_svm_key_baseline,25.871939500151242,0.0,25.871939500151242,0.0,0.7871766232021181,0.0,0.7871766232021181,0.0,0,1,1,1,1,0,0,0.9799092556390724,0.005,0.09092835610427992,25.000080507130342,0,540.0
29,0.0029000000000000002,load_step,foc_svm_key_baseline,26.795937339442354,0.0,26.795937339442354,0.0,0.7168227998589096,0.0,0.7168227998589096,0.0,0,1,1,1,1,0,0,0.9799211027586013,0.005,0.07557283055577096,25.000081262321935,0,540.0
30,0.003,load_step,foc_svm_key_baseline,27.719935178733472,0.0,27.719935178733472,0.0,0.6524729943365202,0.0,0.6524729943365202,0.0,0,1,1,1,1,0,0,0.9799340341648243,0.005,0.06277039315023207,25.000081889484118,0,540.0
31,0.0031000000000000003,load_step,foc_svm_key_baseline,28.643933018024583,0.0,28.643933018024583,0.0,0.5936136665553278,0.0,0.5936136665553278,0.0,0,1,1,1,1,0,0,0.9799476429162436,0.005,0.052099921602016486,25.000082409937406,0,540.0
32,0.0032,load_step,foc_svm_key_baseline,29.5679308573157,0.0,29.5679308573157,0.0,0.5397752015296889,0.0,0.5397752015296889,0.0,0,1,1,1,1,0,0,0.9799616040006172,0.005,0.043209493968161726,25.000082841482946,0,540.0
33,0.0033,load_step,foc_svm_key_baseline,30.49192869660682,0.0,30.49192869660682,0.0,0.4905281522823297,0.0,0.4905281522823297,0.0,0,1,1,1,1,0,0,0.9799756602583812,0.005,0.035805038100816595,25.000083198981052,0,540.0
34,0.0034000000000000002,load_step,foc_svm_key_baseline,31.41592653589793,0.0,31.41592653589793,0.0,0.4454798041170036,0.0,0.4454798041170036,0.0,0,1,1,1,1,0,0,0.9799896105711967,0.005,0.029640841237146522,25.000083494834804,0,540.0
35,0.0035,load_step,foc_svm_key_baseline,32.33992437518905,0.0,32.33992437518905,0.0,0.4042710327623961,0.0,0.4042710327623961,0.0,0,1,1,1,1,0,0,0.9800032999623529,0.005,0.024511615013368755,25.000083739394324,0,540.0
36,0.0036000000000000003,load_step,foc_svm_key_baseline,33.26392221448017,0.0,33.26392221448017,0.0,0.36657343125129804,0.0,0.36657343125129804,0.0,0,1,1,1,1,0,0,0.9800166113100391,0.005,0.020245861095445253,25.000083941294672,0,540.0
37,0.0037,load_step,foc_svm_key_baseline,34.18792005377128,0.0,34.18792005377128,0.0,0.3320866825490828,0.0,0.3320866825490828,0.0,0,1,1,1,1,0,0,0.980029458420474,0.005,0.016700324352030966,25.000084107738306,0,540.0
38,0.0038,load_step,foc_svm_key_baseline,35.1119178930624,0.0,35.1119178930624,0.0,0.6632446785146453,0.0,0.6632446785146453,0.0,4,1,1,1,1,0,0,0.9800417802468391,0.005,0.018543423096329472,25.00008429261182,1,540.0
39,0.0039000000000000003,load_step,foc_svm_key_baseline,36.03591573235351,0.0,36.03591573235351,0.0,0.6038277545870808,0.0,0.6038277545870808,0.0,0,1,1,1,1,0,0,0.9800535360729703,0.005,0.06336871297925437,25.000084925737,1,540.0
40,0.004,load_step,foc_svm_key_baseline,36.95991357164463,0.0,36.95991357164463,0.0,0.5494791966789144,0.0,0.5494791966789144,0.0,0,1,1,1,1,0,0,0.9800512538185824,0.005,0.044760587162937196,25.0000853727767,0,540.0
41,0.0041,load_step,foc_svm_key_baseline,37.883911410935745,0.0,37.883911410935745,0.0,0.4997654947717244,0.0,0.4997654947717244,0.0,0,1,1,1,1,0,0,0.9800515239892492,0.005,0.03715007308854231,25.00008574370828,0,540.0
42,0.004200000000000001,load_step,foc_svm_key_baseline,38.80790925022686,0.0,38.80790925022686,0.0,0.4542902186559164,0.0,0.4542902186559164,0.0,0,1,1,1,1,0,0,0.98005377506613,0.005,0.030808973450575153,25.00008605122639,0,540.0
43,0.0043,load_step,foc_svm_key_baseline,39.731907089517975,0.0,39.731907089517975,0.0,0.41269084634920766,0.0,0.41269084634920766,0.0,0,1,1,1,1,0,0,0.9800575374046188,0.005,0.025527619258499553,25.000086305928907,0,540.0
44,0.0044,load_step,foc_svm_key_baseline,40.65590492880909,0.0,40.65590492880909,0.0,0.37463586379291924,0.0,0.37463586379291924,0.0,0,1,1,1,1,0,0,0.980062426566885,0.005,0.021130814891870346,25.000086516661682,0,540.0
45,0.0045000000000000005,load_step,foc_svm_key_baseline,41.579902768100204,0.0,41.579902768100204,0.0,0.3398221126226228,0.0,0.3398221126226228,0.0,0,1,1,1,1,0,0,0.9800681292751273,0.005,0.017472182311266772,25.00008669080673,0,540.0
46,0.0046,load_step,foc_svm_key_baseline,42.50390060739132,0.0,42.50390060739132,0.0,0.30797236479437107,0.0,0.30797236479437107,0.0,0,1,1,1,1,0,0,0.980074391581431,0.005,0.01442943222482593,25.000086834523113,0,540.0
47,0.0047,load_step,foc_svm_key_baseline,43.427898446682434,0.0,43.427898446682434,0.0,0.27883310466266314,0.0,0.27883310466266314,0.0,0,1,1,1,1,0,0,0.9800810089118986,0.005,0.011900410359597737,25.00008695294832,0,540.0
48,0.0048000000000000004,load_step,foc_svm_key_baseline,44.35189628597355,0.0,44.35189628597355,0.0,0.25217250076597547,0.0,0.25217250076597547,0.0,0,1,1,1,1,0,0,0.9800878176950665,0.005,0.0097997918571356,25.000087050366552,0,540.0
49,0.0049,load_step,foc_svm_key_baseline,45.27589412526467,0.0,45.27589412526467,0.0,0.22777855109344283,0.0,0.22777855109344283,0.0,0,1,1,1,1,0,0,0.980094688328976,0.005,0.008056317610088223,25.000087130349392,0,540.0
50,0.005,load_step,foc_svm_key_baseline,46.19989196455578,0.0,46.19989196455578,0.0,0.20545738699414764,0.0,0.20545738699414764,0.0,0,1,1,1,1,0,0,0.980101519278872,0.005,0.006610483748021917,25.000087195873363,0,540.0
51,0.0051,load_step,foc_svm_key_baseline,47.1238898038469,0.0,47.1238898038469,0.0,0.18503172215970976,0.0,0.18503172215970976,0.0,0,1,1,1,1,0,0,0.9801082321293711,0.005,0.005412610024014139,25.000087249418158,0,540.0
52,0.005200000000000001,load_step,foc_svm_key_baseline,48.04788764313801,0.0,48.04788764313801,0.0,0.1663394342714712,0.0,0.1663394342714712,0.0,0,1,1,1,1,0,0,0.9801147674419566,0.005,0.0044212250151328064,25.000087293048747,0,540.0
53,0.0053,load_step,foc_svm_key_baseline,48.97188548242914,0.0,48.97188548242914,0.0,0.14923226796497366,0.0,0.14923226796497366,0.0,0,1,1,1,1,0,0,0.9801210812915683,0.005,0.0036017162197771535,25.000087328483954,0,540.0
54,0.0054,load_step,foc_svm_key_baseline,49.89588332172025,0.0,49.89588332172025,0.0,0.13357464873496094,0.0,0.13357464873496094,0.0,0,1,1,1,1,0,0,0.9801271423754627,0.005,0.00292520163916869,25.00008735715378,0,540.0
55,0.0055000000000000005,load_step,foc_svm_key_baseline,50.81988116101136,0.0,50.81988116101136,0.0,0.11924259829174405,0.0,0.11924259829174405,0.0,0,1,1,1,1,0,0,0.9801329296039804,0.005,0.0023675865417972313,25.000087380247265,0,540.0
56,0.0056,load_step,foc_svm_key_baseline,51.743879000302485,0.0,51.743879000302485,0.0,0.10612274269139517,0.0,0.10612274269139517,0.0,0,1,1,1,1,0,0,0.9801384300968027,0.005,0.001908775056432404,25.00008739875248,0,540.0
57,0.0057,load_step,foc_svm_key_baseline,52.667876839593596,0.0,52.667876839593596,0.0,0.0941114053044523,0.0,0.0941114053044523,0.0,0,1,1,1,1,0,0,0.9801436375201016,0.005,0.0015320112121426919,25.000087413489933,0,540.0
58,0.0058000000000000005,load_step,foc_svm_key_baseline,53.59187467888471,0.0,53.59187467888471,0.0,0.08311377736657337,0.0,0.08311377736657337,0.0,0,1,1,1,1,0,0,0.9801485507099977,0.005,0.0012233282021232575,25.000087425140457,0,540.0
59,0.0059,load_step,foc_svm_key_baseline,54.51587251817583,0.0,54.51587251817583,0.0,0.07304315947523941,0.0,0.07304315947523941,0.0,0,1,1,1,1,0,0,0.980153172536229,0.005,0.0009710881254036159,25.000087434268504,0,540.0
60,0.006,load_step,foc_svm_key_baseline,55.439870357466944,0.0,55.439870357466944,0.0,0.06382026796423179,0.0,0.06382026796423179,0.0,0,1,1,1,1,0,0,0.9801575089671156,0.005,0.0007655973682270915,25.000087441341584,0,540.0
61,0.0061,load_step,foc_svm_key_baseline,56.363868196758055,0.0,56.363868196758055,0.0,0.4180811222096864,0.0,0.4180811222096864,0.0,4,1,1,1,1,0,0,0.980161568302989,0.005,0.0015977723873760053,25.000087456736367,1,540.0
62,0.006200000000000001,load_step,foc_svm_key_baseline,57.28786603604917,0.0,57.28786603604917,0.0,0.37979089640839336,0.0,0.37979089640839336,0.0,0,1,1,1,1,0,0,0.9801653605504071,0.005,0.027721212279606722,25.000087733365444,1,540.0
63,0.0063,load_step,foc_svm_key_baseline,58.21186387534029,0.0,58.21186387534029,0.0,0.34476190524645467,0.0,0.34476190524645467,0.0,0,1,1,1,1,0,0,0.9801554477939985,0.005,0.01797410451149056,25.0000879125216,0,540.0
