k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,protected_ai_pwm_h1_baseline,0.0,0.0,0.0,0.0,0.3627085216030743,0.0,0.3627085216030743,0.0,4,1,0,1,1,0,0,0.8935973471085157,0.11249999999999999,0.0,25.0,1,540.0
1,0.0001,load_step,protected_ai_pwm_h1_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.6865366990919267,0.0,0.6865366990919267,0.0,4,0,0,1,1,0,0,0.8847059049434836,0.12249999999999998,0.015823606818430164,25.00000015823607,0,540.0
2,0.0002,load_step,protected_ai_pwm_h1_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,0.9831278885397993,0.0,0.9831278885397993,0.0,4,0,0,1,1,0,0,0.8759029341062032,0.13249999999999998,0.058253764878095866,25.000000740772663,0,540.0
3,0.00030000000000000003,load_step,protected_ai_pwm_h1_baseline,2.771993517873347,0.0,2.771993517873347,0.0,1.254811535275088,0.0,1.254811535275088,0.0,4,0,0,1,1,0,0,0.8671875542922549,0.1425,0.12263391470898599,25.000001967106872,0,540.0
4,0.0004,load_step,protected_ai_pwm_h1_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,1.3223635773529963,0.3141147938773592,1.3591591277118473,0.018330966812249085,6,0,1,1,1,0,0,0.8585588939563946,0.17462789384330482,0.2234099881777827,25.00000420119364,1,540.0
5,0.0005,load_step,protected_ai_pwm_h1_baseline,4.619989196455578,0.0010969969070027399,4.618892199548576,0.0,1.0216534895725509,0.6017712284218459,1.1857084228899226,0.04349985706310759,2,1,0,1,1,0,0,0.8913244600902992,0.11493017773554745,0.25906247714999764,25.000006791790405,1,540.0
6,0.0006000000000000001,load_step,protected_ai_pwm_h1_baseline,5.543987035746694,0.003700114578825601,5.540286921167868,0.0,0.7505806152162392,0.8580191104446064,1.139985988434306,0.07340593466241603,2,0,0,1,1,0,0,0.8824556335289677,0.12493017773554745,0.1915694560536362,25.000008707439687,0,540.0
7,0.0007,load_step,protected_ai_pwm_h1_baseline,6.467984875037811,0.008092729157734112,6.459892145880077,0.0,0.502451121759666,1.092748207428438,1.202728470851011,0.10760690453654653,2,0,0,1,1,0,0,0.8736750532663713,0.13493017773554744,0.18206111017468765,25.00001052799274,0,540.0
8,0.0008,load_step,protected_ai_pwm_h1_baseline,7.391982714328925,0.014531726342926009,7.377450987985999,0.0,0.275302793083539,1.3077987186272881,1.3364614159498862,0.14514082493745972,2,0,0,1,1,0,0,0.8649818412371664,0.16830864635304382,0.20298429199210893,25.000012557765473,0,540.0
9,0.0009000000000000001,load_step,protected_ai_pwm_h1_baseline,8.315980553620042,0.023216405731941683,8.2927641478881,0.0,-0.11401291167711812,1.1907386206472708,1.1961845203521317,0.1589161676115345,3,1,1,1,1,0,0,0.8957740467095526,0.1097475054455752,0.25652006303004177,25.000015122882385,1,540.0
10,0.001,load_step,protected_ai_pwm_h1_baseline,9.239978392911157,0.03272478836692687,9.20725360454423,0.0,-0.4621777987964931,1.0836799022024548,1.1781215761278179,0.17845150138655502,3,1,1,1,1,0,0,0.9197267823646457,0.08321671431713218,0.18636554384422774,25.000016986437004,0,540.0
11,0.0011,load_step,protected_ai_pwm_h1_baseline,10.163976232202273,0.043401511406900496,10.120574720795373,0.0,-0.7810291466506752,0.9857671372981414,1.2576737959005326,0.20321649124807606,3,1,1,1,1,0,0,0.9382039740978443,0.06322471278597594,0.17763803342202814,25.000018762704094,0,540.0
12,0.0012000000000000001,load_step,protected_ai_pwm_h1_baseline,11.087974071493388,0.055559448205893175,11.032414623287496,0.0,-1.0730737101560917,0.8962181561524643,1.3981037768511615,0.23216529114842777,3,1,1,1,1,0,0,0.9523374209463178,0.07961063460292676,0.20045789543930678,25.000020767157963,0,540.0
13,0.0013000000000000002,load_step,protected_ai_pwm_h1_baseline,12.011971910784503,0.0694488605524965,11.942523050232007,0.0,-1.3406037949404888,0.8143178029033836,1.5685445543988332,0.2643929049241519,3,1,1,1,1,0,0,0.9630448877744927,0.17125967160812713,0.2472726652562261,25.000023239746167,0,540.0
14,0.0014,load_step,protected_ai_pwm_h1_baseline,12.935969750075621,0.08526583248956297,12.850703917586058,0.0,-1.0416528146280069,0.42529744197990266,1.1251304370503437,0.1929686166100681,5,1,1,1,1,0,0,0.9710661175938858,0.02857303399421306,0.3575552512939304,25.000026815143748,2,540.0
15,0.0015,load_step,protected_ai_pwm_h1_baseline,13.859967589366736,0.09680727980863423,13.763160309558101,0.0,-0.7638632050581228,0.076345495525022,0.7676689590758694,0.13191032359664392,5,1,1,1,1,0,0,0.9769961451355567,0.022399414612790547,0.16580400532888295,25.000028473005035,0,540.0
16,0.0016,load_step,protected_ai_pwm_h1_baseline,14.78396542865785,0.10469387279503417,14.679271555862817,0.0,-0.5095847403990065,-0.2431683782906436,0.5646303816197145,0.08019623831357331,5,1,1,1,1,0,0,0.9792819145185238,0.02,0.07902645654274598,25.00002926307978,0,540.0
17,0.0017000000000000001,load_step,protected_ai_pwm_h1_baseline,15.707963267948966,0.10948508627378219,15.598478181675183,0.0,-0.8208700896309253,-0.22164713485314075,0.8502676969280262,0.13182034688071864,3,1,1,1,1,0,0,0.9792568878625323,0.02,0.058517635252098237,25.000029848061047,2,540.0
18,0.0018000000000000002,load_step,protected_ai_pwm_h1_baseline,16.631961107240084,0.11736532064780221,16.51459578659228,0.0,-1.105991072091201,-0.20196647854221375,1.1242805299391192,0.1775003788550913,3,1,1,1,1,0,0,0.9792698214645507,0.02,0.0927210299897513,25.00003077507236,0,540.0
19,0.0019,load_step,protected_ai_pwm_h1_baseline,17.5559589465312,0.12797862174078772,17.42798032479041,0.0,-1.3671850536885832,-0.1839684990818384,1.3795069335396175,0.21787397846944734,3,1,1,1,1,0,0,0.9792832291092604,0.04321918650308752,0.16078831465134477,25.00003238275034,0,540.0
20,0.002,load_step,protected_ai_pwm_h1_baseline,18.479956785822313,0.14100722185517217,18.33894956396714,0.0,-1.6064980905879385,-0.16750865952378302,1.6152074993876628,0.253512858933833,3,1,1,1,1,0,0,0.979279564768715,0.18531833770700643,0.24189627536617347,25.00003480149721,0,540.0
21,0.0021000000000000003,load_step,protected_ai_pwm_h1_baseline,19.40395462511343,0.1561675912673776,19.247787033846052,0.0,-1.2817384990364489,0.1616601739282673,1.2918930264331976,0.18115284842264556,6,1,1,1,1,0,0,0.9792526864502675,0.02,0.37937520489934196,25.00003859501725,2,540.0
22,0.0022,load_step,protected_ai_pwm_h1_baseline,20.327952464404547,0.1669964892251681,20.160955975179377,0.0,-0.9845073808845275,0.46308605212452536,1.0879813760760755,0.10739831464728078,6,1,1,1,1,0,0,0.9792022474938421,0.02,0.21814822582236043,25.00004077624221,0,540.0
23,0.0023,load_step,protected_ai_pwm_h1_baseline,21.25195030369566,0.1734107947830296,21.07853950891263,0.0,-0.7124500847987969,0.7391413629301514,1.0266036614604757,0.033027173003181004,6,1,1,1,1,0,0,0.9791645139592319,0.02,0.15599883280796434,25.000042335958696,0,540.0
24,0.0024000000000000002,load_step,protected_ai_pwm_h1_baseline,22.175948142986776,0.17537394688824615,22.00057419609853,0.0,-1.011640538140051,0.6706675016809263,1.2137592332168796,0.09330259203588714,3,1,1,1,1,0,0,0.9791561808809376,0.02,0.1675231147564074,25.000044010907605,2,540.0
25,0.0025,load_step,protected_ai_pwm_h1_baseline,23.09994598227789,0.18094406550181819,22.91900191677607,0.0,-1.1043502205440126,0.2939268803583706,1.1427958788046153,0.16323047761301218,1,1,1,1,1,0,0,0.9791804695864863,0.02,0.20873230632510076,25.00004609793726,1,540.0
26,0.0026000000000000003,load_step,protected_ai_pwm_h1_baseline,24.023943821569006,0.1906985149289851,23.83324530664002,0.0,-1.1851932941017045,-0.04379353755540825,1.1860021156453584,0.23229550954990613,1,1,1,1,1,0,0,0.9792011757660579,0.02,0.17062214981902174,25.00004780385144,0,540.0
27,0.0027,load_step,protected_ai_pwm_h1_baseline,24.947941660860124,0.20458533713794388,24.743356323722182,0.0,-1.2593438658878946,-0.353033912170539,1.3078914005726558,0.30175606846530606,1,1,1,1,1,0,0,0.9792096146041372,0.02,0.18232117196203532,25.000049626744467,0,540.0
28,0.0028,load_step,protected_ai_pwm_h1_baseline,25.871939500151242,0.22262788451767038,25.64931161563357,0.0,-1.3273744772713818,-0.6362290962450703,1.4719750221455163,0.37102857544957346,1,1,1,1,1,0,0,0.9791977174822876,0.1021716322939251,0.21971334079411692,25.00005182354703,0,540.0
29,0.0029000000000000002,load_step,protected_ai_pwm_h1_baseline,26.795937339442354,0.2448145840135038,26.55112275542885,0.0,-1.0271002738472021,-0.895605483210594,1.3627340731389521,0.3777237294310144,5,1,1,1,1,0,0,0.9791576790785329,0.04124985499073784,0.2985434039574742,25.00005480863558,1,540.0
30,0.003,load_step,protected_ai_pwm_h1_baseline,27.719935178733472,0.26740024313285127,27.45253493560062,0.0,-0.756424744974547,-1.1259858172527943,1.356474273793739,0.3914221615719812,5,1,1,1,1,0,0,0.9790850022383876,0.03648544014856901,0.23915452668398055,25.000057199815455,0,540.0
31,0.0031000000000000003,load_step,protected_ai_pwm_h1_baseline,28.643933018024583,0.2908039348393286,28.353129083185255,0.0,-0.508658452976975,-1.3370538533199097,1.430540607065227,0.41170923353898026,5,1,1,1,1,0,0,0.9789987255973259,0.07854283308343067,0.23652748622047712,25.000059564708984,0,540.0
32,0.0032,load_step,protected_ai_pwm_h1_baseline,29.5679308573157,0.3154198863154509,29.25251097100025,0.0,-0.28184322001216344,-1.5304615035299083,1.5561966503157152,0.43734866192687083,5,1,1,1,1,0,0,0.9789064221816383,0.1524291616250528,0.26200845702956876,25.000062184396455,0,540.0
33,0.0033,load_step,protected_ai_pwm_h1_baseline,30.49192869660682,0.3415683104098303,30.15036038619699,0.0,-0.07418848020000439,-1.7077194342612283,1.7093301602522188,0.4672672924068073,5,1,1,1,1,0,0,0.9788096114528568,0.24418845039840617,0.3093803954672884,25.000065277785847,0,540.0
34,0.0034000000000000002,load_step,protected_ai_pwm_h1_baseline,31.41592653589793,0.36950517360714913,31.046421362290783,0.0,0.1159430271206772,-1.2419795644281508,1.2473796631318972,0.3303711951493253,6,1,1,1,1,0,0,0.9787072361537549,0.02,0.4231631860662053,25.000069508982524,2,540.0
35,0.0035,load_step,protected_ai_pwm_h1_baseline,32.33992437518905,0.38924749131800634,31.950676883871044,0.0,-0.26234330464600364,-1.1297664018472549,1.1598259060029135,0.31096263211162956,3,1,1,1,1,0,0,0.9785976010232236,0.02,0.241958855983017,25.00007192810769,2,540.0
36,0.0036000000000000003,load_step,protected_ai_pwm_h1_baseline,33.26392221448017,0.4078268077108507,32.85609540676932,0.0,-0.600426618258263,-1.0271383089649684,1.1897584753455084,0.28570267725303605,3,1,1,1,1,0,0,0.9785286229048378,0.02,0.1784543199589624,25.000073712171368,0,540.0
37,0.0037,load_step,protected_ai_pwm_h1_baseline,34.18792005377128,0.42489304191804234,33.76302701185324,0.0,-0.9100634354892514,-0.9332738752239568,1.303539636064067,0.25596635828550734,3,1,1,1,1,0,0,0.9784909258170179,0.02,0.1855981823646855,25.000075567661778,0,540.0
38,0.0038,load_step,protected_ai_pwm_h1_baseline,35.1119178930624,0.44017842701718757,34.67173946604521,0.0,-0.6496238298248693,-1.1615367752295618,1.3308564161798297,0.33014831415682483,5,1,1,1,1,0,0,0.9784785887319064,0.028187564788829538,0.25813979965081785,25.00007814855599,2,540.0
39,0.0039000000000000003,load_step,protected_ai_pwm_h1_baseline,36.03591573235351,0.45990197673419936,35.57601375561931,0.0,-0.4112224935468758,-1.3706670146260447,1.4310248090731286,0.4051565119181618,5,1,1,1,1,0,0,0.9784863709205011,0.0860587565544325,0.23055804994279538,25.0000804536155,0,540.0
