k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,safe_neural_horizon_pwm_h2,0.0,0.0,0.0,0.0,0.3627085216030743,0.0,0.3627085216030743,0.0,4,1,0,1,1,0,0,0.8935973471085157,0.11249999999999999,0.0,25.0,1,540.0
1,0.0001,load_step,safe_neural_horizon_pwm_h2,0.9239978392911157,0.0,0.9239978392911157,0.0,0.6865366990919267,0.0,0.6865366990919267,0.0,4,0,0,1,1,0,0,0.8847059049434836,0.12249999999999998,0.015823606818430164,25.00000015823607,0,540.0
2,0.0002,load_step,safe_neural_horizon_pwm_h2,1.8479956785822313,0.0,1.8479956785822313,0.0,0.9831278885397993,0.0,0.9831278885397993,0.0,4,0,0,1,1,0,0,0.8759029341062032,0.13249999999999998,0.058253764878095866,25.000000740772663,0,540.0
3,0.00030000000000000003,load_step,safe_neural_horizon_pwm_h2,2.771993517873347,0.0,2.771993517873347,0.0,1.0734572744735509,0.3141147938773592,1.1184715570155552,0.011340820858989985,6,0,0,1,1,0,0,0.8671875542922549,0.1425,0.1369304128063632,25.00000211007185,1,540.0
4,0.0004,load_step,safe_neural_horizon_pwm_h2,3.6959913571644627,0.0006786791734776897,3.695312677990985,0.0,0.7935765358315349,0.6017712284218459,0.9959379145201356,0.02874287697830017,2,0,0,1,1,0,0,0.8585588939563946,0.1525,0.1803308268596962,25.00000391336605,1,540.0
5,0.0005,load_step,safe_neural_horizon_pwm_h2,4.619989196455578,0.002398713453148817,4.61759048300243,0.0,0.5415516338309204,0.8580191455647204,1.0146304875473395,0.05051220952613601,2,0,0,1,1,0,0,0.8500160902253981,0.1625,0.13553454312330615,25.000005268685392,0,540.0
6,0.0006000000000000001,load_step,safe_neural_horizon_pwm_h2,5.543987035746694,0.005421377770443222,5.5385656579762506,0.0,0.3108410928754047,1.0927483761395935,1.136099114767587,0.07615243123019015,2,0,0,1,1,0,0,0.8415582888117733,0.17250000000000001,0.14157609133994373,25.00000668441118,0,540.0
7,0.0007,load_step,safe_neural_horizon_pwm_h2,6.467984875037811,0.009978221222591543,6.458006653815219,0.0,0.09962200353523931,1.3077992004477463,1.3115880802600106,0.10483523394194041,2,0,0,1,1,0,0,0.8331846439283305,0.18250000000000002,0.17572192259881736,25.00000844158584,0,540.0
8,0.0008,load_step,safe_neural_horizon_pwm_h2,7.391982714328925,0.016251205910218967,7.375731508418706,0.0,-0.27512681094637714,1.19073968557534,1.2221111900746116,0.12237111760078985,3,0,0,1,1,0,0,0.8248943182036034,0.19250000000000003,0.2528259524908791,25.000010969789088,1,540.0
9,0.0009000000000000001,load_step,safe_neural_horizon_pwm_h2,8.315980553620042,0.02357312465052092,8.29240742896952,0.0,-0.6099707215841241,1.0836819110580573,1.243555694588827,0.14536365507062787,3,1,1,1,1,0,0,0.8644830531509642,0.15224585653869485,0.19496384992767168,25.000012919354454,0,540.0
10,0.001,load_step,safe_neural_horizon_pwm_h2,9.239978392911157,0.03227044440528906,9.207707948505867,0.0,-0.9166404861853029,0.9857704249220774,1.346095506108345,0.17330674512636118,3,1,1,1,1,0,0,0.8956165897615717,0.2063212782843235,0.1970949792041905,25.000014890218118,0,540.0
11,0.0011,load_step,safe_neural_horizon_pwm_h2,10.163976232202273,0.04263931997231295,10.12133691222996,0.0,-1.1975454340377327,0.896223023650397,1.4957709633181417,0.20517683267052866,3,1,1,1,1,0,0,0.9197899992886511,0.2861748553604038,0.22894407901079977,25.00001717955964,0,540.0
12,0.0012000000000000001,load_step,safe_neural_horizon_pwm_h2,11.087974071493388,0.05491462984628804,11.0330594416471,0.0,-1.4548887655230651,0.814324518164799,1.6672809424117943,0.24008942465140679,3,1,1,1,1,0,0,0.938335751328306,0.3782550465832954,0.28278843370194756,25.000020007329447,0,540.0
13,0.0013000000000000002,load_step,safe_neural_horizon_pwm_h2,12.011971910784503,0.06927830294466343,11.94269360783984,0.0,-1.142457969314981,0.43251925139705094,1.2215904037280152,0.1869779736359039,5,1,1,1,1,0,0,0.9524018992940381,0.04813462169384426,0.4011215008809068,25.00002401841107,2,540.0
14,0.0014,load_step,safe_neural_horizon_pwm_h2,12.935969750075621,0.08046247504979986,12.855507275025822,0.0,-1.2192091103887275,0.08296205060353694,1.2220284598548496,0.20466152464786005,1,1,1,1,1,0,0,0.9629701471437577,0.037933055952449134,0.21359177121058986,25.000026154168662,1,540.0
15,0.0015,load_step,safe_neural_horizon_pwm_h2,13.859967589366736,0.0927040408676715,13.767263548499065,0.0,-1.289618410248688,-0.2371050192143063,1.3112339357219862,0.2278305339308665,1,1,1,1,1,0,0,0.970978025220882,0.11157743897520986,0.19390803626619324,25.000028093074665,0,540.0
16,0.0016,load_step,safe_neural_horizon_pwm_h2,14.78396542865785,0.10633119048189948,14.677634238175951,0.0,-1.3542283465817977,-0.5302037379830806,1.4543212913441448,0.25540884342920395,1,1,1,1,1,0,0,0.9770138299170096,0.20655788993714158,0.22097377500955348,25.000030302625127,0,540.0
17,0.0017000000000000001,load_step,safe_neural_horizon_pwm_h2,15.707963267948966,0.1216076872444835,15.586355580704483,0.0,-1.0508265518048572,-0.7986401044935081,1.3198721371721913,0.22997062810982236,5,1,1,1,1,0,0,0.9792797865325146,0.02,0.29157874849893384,25.000033218210596,1,540.0
18,0.0018000000000000002,load_step,safe_neural_horizon_pwm_h2,16.631961107240084,0.1353606877768011,16.496600419463284,0.0,-0.777291277937633,-1.037309767107538,1.2962226983410734,0.2151501038268042,5,1,1,1,1,0,0,0.9792132373174472,0.04696946216441687,0.2242717890367193,25.000035460707032,0,540.0
19,0.0019,load_step,safe_neural_horizon_pwm_h2,17.5559589465312,0.14822571338152518,17.407733233149674,0.0,-0.5269098288924762,-1.2559623000948108,1.3620114783080743,0.20926372051291142,5,1,1,1,1,0,0,0.9791570775680343,0.12006601664694493,0.21579006874207987,25.000037618371316,0,540.0
20,0.002,load_step,safe_neural_horizon_pwm_h2,18.479956785822313,0.16073748629823495,18.31921929952408,0.0,-0.8417654399119157,-1.1421950623914345,1.4188652565981994,0.22621651911584953,3,1,1,1,1,0,0,0.9791136926031938,0.1615482430478565,0.2768772856301456,25.00004038689338,2,540.0
21,0.0021000000000000003,load_step,safe_neural_horizon_pwm_h2,19.40395462511343,0.17426281983778616,19.229691805275642,0.0,-1.1301578775948955,-1.0381469743655358,1.534602870020161,0.234251326974101,3,1,1,1,1,0,0,0.9790794943724273,0.24996860402066165,0.26005763675211857,25.0000429872005,0,540.0
22,0.0022,load_step,safe_neural_horizon_pwm_h2,20.327952464404547,0.18826794860441623,20.13968451580013,0.0,-0.8502876991206005,-1.2571006205940325,1.5176597581716749,0.25159282415324835,5,1,1,1,1,0,0,0.9790445980779056,0.1888148763013748,0.34908104486889097,25.000046477724368,2,540.0
23,0.0023,load_step,safe_neural_horizon_pwm_h2,21.25195030369566,0.20330978450374346,21.048640519191917,0.0,-0.5941146867696739,-1.4577217568515153,1.574142617882413,0.27616567818990023,5,1,1,1,1,0,0,0.9790072376876898,0.2502037903568828,0.2990095793229352,25.00004946751031,0,540.0
24,0.0024000000000000002,load_step,safe_neural_horizon_pwm_h2,22.175948142986776,0.21982100062368068,21.956127142363094,0.0,-0.17825864240034509,-1.3274636208848545,1.339378889023992,0.24653487996247242,4,1,1,1,1,0,0,0.9789675162761724,0.03733799897110056,0.34399405128726274,25.000052907121038,1,540.0
25,0.0025,load_step,safe_neural_horizon_pwm_h2,23.09994598227789,0.23455772505306505,22.865388257224826,0.0,0.20250297247716706,-1.2083332817331716,1.225184383513822,0.22810643843864686,4,1,1,1,1,0,0,0.978923035410046,0.02,0.23485094763690703,25.0000552552778,0,540.0
26,0.0026000000000000003,load_step,safe_neural_horizon_pwm_h2,24.023943821569006,0.24819048706416566,23.77575333450484,0.0,0.5428426230409817,-1.099380115105289,1.2260973659864587,0.21890089593367185,4,1,1,1,1,0,0,0.9788903590825329,0.02,0.1958013051990546,25.000057212922485,0,540.0
27,0.0027,load_step,safe_neural_horizon_pwm_h2,24.947941660860124,0.26127130590472997,24.686670354955393,0.0,0.8545354430261345,-0.9997348486751417,1.3151808206643605,0.21755398319258012,4,1,1,1,1,0,0,0.9788729362508917,0.10180678241702755,0.1939253453588247,25.00005915179452,0,540.0
28,0.0028,load_step,safe_neural_horizon_pwm_h2,25.871939500151242,0.2742705151902974,25.597668984960944,0.0,0.5959686570638779,-1.22271734087466,1.3602265751991915,0.2341840320426013,1,1,1,1,1,0,0,0.9788671806141435,0.12358687848530713,0.2594959449725915,25.000061746359624,2,540.0
29,0.0029000000000000002,load_step,safe_neural_horizon_pwm_h2,26.795937339442354,0.2882639330379954,26.507673406404358,0.0,0.3592727393297737,-1.4270274991831637,1.471558488355279,0.24202417808057736,1,1,1,1,1,0,0,0.978866463455242,0.21155659072283137,0.23929772210392983,25.000064138925204,0,540.0
30,0.003,load_step,safe_neural_horizon_pwm_h2,27.719935178733472,0.30272546082286944,27.417209717910602,0.0,0.6866387701591085,-1.3001467189540528,1.4703245531149243,0.26206327439444455,4,1,1,1,1,0,0,0.9788610198784249,0.16755065811413813,0.3229723108825892,25.00006736822072,2,540.0
31,0.0031000000000000003,load_step,safe_neural_horizon_pwm_h2,28.643933018024583,0.31838509558084505,28.32554792244374,0.0,0.9864650930660303,-1.1841078366135789,1.5411764170812703,0.28868708896805356,4,1,1,1,1,0,0,0.9788495003156052,0.23589145711709378,0.2805438627006571,25.000070173210226,0,540.0
32,0.0032,load_step,safe_neural_horizon_pwm_h2,29.5679308573157,0.33563680061090995,29.23229405670479,0.0,1.079752673613443,-0.7638699790843749,1.322634938719578,0.25706641593536783,6,1,1,1,1,0,0,0.9788312057821957,0.026110634375622537,0.3298821860879773,25.000073471564264,1,540.0
33,0.0033,load_step,safe_neural_horizon_pwm_h2,30.49192869660682,0.3509948751494831,30.140933821457338,0.0,1.1652852188487295,-0.3791595027401439,1.2254189364398955,0.2367627200975067,6,1,1,1,1,0,0,0.9788037339075932,0.02,0.22862723554289507,25.00007575734681,0,540.0
34,0.0034000000000000002,load_step,safe_neural_horizon_pwm_h2,31.41592653589793,0.3651367169619081,31.050789818936025,0.0,1.2395630186285196,-0.034151748755901316,1.2400333943465127,0.2258138601748812,6,1,1,1,1,0,0,0.9787847363081952,0.032033179898125916,0.1954411421196338,25.000077711253184,0,540.0
35,0.0035,load_step,safe_neural_horizon_pwm_h2,32.33992437518905,0.37862224954285234,31.961302125646196,0.0,1.307709187771122,-0.34647780398978417,1.3528304359521894,0.25242545188327026,5,1,1,1,1,0,0,0.978778460530556,0.14562192179004915,0.23435918763103591,25.000080054326986,2,540.0
36,0.0036000000000000003,load_step,safe_neural_horizon_pwm_h2,33.26392221448017,0.39369928797093023,32.870222926509236,0.0,1.3702495968879447,-0.6325029207946904,1.5091865035791268,0.2704149022535835,5,1,1,1,1,0,0,0.9787819624381288,0.24986949170156755,0.2368755896377918,25.000082422549188,0,540.0
37,0.0037,load_step,safe_neural_horizon_pwm_h2,34.18792005377128,0.4098517272342159,33.77806832653706,0.0,1.427661945072257,-0.26624760298716205,1.452276287592657,0.28149031568455857,6,1,1,1,1,0,0,0.9787797982660721,0.13280939449233817,0.3381767556241515,25.00008580376726,2,540.0
38,0.0038,load_step,safe_neural_horizon_pwm_h2,35.1119178930624,0.42666572163640615,34.685252171425994,0.0,1.480383085628921,0.06908412849277522,1.4819941622779125,0.3003523808189289,6,1,1,1,1,0,0,0.9787676514700228,0.18487950192001854,0.2740735594927931,25.00008854393083,0,540.0
39,0.0039000000000000003,load_step,safe_neural_horizon_pwm_h2,36.03591573235351,0.44460720410904825,35.59130852824446,0.0,1.528815705168306,0.37613625673587386,1.5744065370800961,0.32557808817543454,6,1,1,1,1,0,0,0.9787498344775133,0.2613787116856483,0.28459831048661016,25.00009138932364,0,540.0
40,0.004,load_step,safe_neural_horizon_pwm_h2,36.95991357164463,0.4640569133202208,36.495856658324406,0.0,1.210619510024313,0.6573265572824478,1.3775622675437589,0.28592355361998634,2,1,1,1,1,0,0,0.9787259048820136,0.05666015431497061,0.34272282746848,25.000094815942653,1,540.0
41,0.0041,load_step,safe_neural_horizon_pwm_h2,37.883911410935745,0.4811320453999517,37.40277936553579,0.0,0.9193912450871011,0.9148659164710122,1.2970196246253005,0.25869212033817557,2,1,1,1,1,0,0,0.9786929276573978,0.02616877162710572,0.2468317506374239,25.000097283628055,0,540.0
42,0.004200000000000001,load_step,safe_neural_horizon_pwm_h2,38.80790925022686,0.49657622986598027,38.31133302036088,0.0,0.6569908927243441,1.1435653830534218,1.318855116546488,0.241882045902528,2,1,1,1,1,0,0,0.978669754594935,0.07986979899766154,0.21805453462192417,25.000099463524844,0,540.0
43,0.0043,load_step,safe_neural_horizon_pwm_h2,39.731907089517975,0.5110132469887783,39.22089384252919,0.0,0.960858575190595,1.0389817383935138,1.415179230427195,0.27166805390744986,4,1,1,1,1,0,0,0.9786612438594045,0.17597047436674282,0.26226110356968174,25.00010208547279,2,540.0
44,0.0044,load_step,safe_neural_horizon_pwm_h2,40.65590492880909,0.5272316663689949,40.128673262440095,0.0,1.0578526802481156,0.6292140445304295,1.2308381725240989,0.22369020296441966,5,1,1,1,1,0,0,0.9786647181158322,0.02,0.27995873994655945,25.00010488437962,1,540.0
45,0.0045000000000000005,load_step,safe_neural_horizon_pwm_h2,41.579902768100204,0.5405776570041159,41.03932511109609,0.0,1.1467853120389335,0.2540692842723186,1.1745925902707213,0.17183719627661614,5,1,1,1,1,0,0,0.9786635246176318,0.04820593157290408,0.19905697774321363,25.000106874250168,0,540.0
46,0.0046,load_step,safe_neural_horizon_pwm_h2,42.50390060739132,0.5508195350772845,41.953081072314035,0.0,1.2241794015176817,0.5460281700429753,1.3404335006186132,0.23368221753803856,6,1,1,1,1,0,0,0.9786742724784552,0.032815273480841775,0.21522871786488298,25.00010902582485,2,540.0
