k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
0,0.0,load_step,sensorless_adaptive_foc_baseline,0.0,0.0,0.0,0.0,0.3627085216030743,0.0,0.3627085216030743,0.0,4,1,1,1,1,0,0,0.8935973471085157,0.028124999999999997,0.0,25.0,1,540.0
1,0.0001,load_step,sensorless_adaptive_foc_baseline,0.9239978392911157,0.0,0.9239978392911157,0.0,0.6865366990919267,0.0,0.6865366990919267,0.0,4,0,0,1,1,0,0,0.8847059049434836,0.030624999999999996,0.015823606818430164,25.00000015823607,0,540.0
2,0.0002,load_step,sensorless_adaptive_foc_baseline,1.8479956785822313,0.0,1.8479956785822313,0.0,0.9831278885397993,0.0,0.9831278885397993,0.0,4,0,0,1,1,0,0,0.8759029341062032,0.033124999999999995,0.058253764878095866,25.000000740772663,0,540.0
3,0.00030000000000000003,load_step,sensorless_adaptive_foc_baseline,2.771993517873347,0.0,2.771993517873347,0.0,1.254811535275088,0.0,1.254811535275088,0.0,4,0,0,1,1,0,0,0.8671875542922549,0.035625,0.12263391470898599,25.000001967106872,0,540.0
4,0.0004,load_step,sensorless_adaptive_foc_baseline,3.6959913571644627,0.0,3.6959913571644627,0.0,1.5037178381545335,0.0,1.5037178381545335,0.0,4,0,0,1,1,0,0,0.8585588939563946,0.09412401780877058,0.20492896351658904,25.000004016383393,0,540.0
5,0.0005,load_step,sensorless_adaptive_foc_baseline,4.619989196455578,0.0,4.619989196455578,0.0,1.7317947918955492,0.0,1.7317947918955492,0.0,4,0,0,1,1,0,0,0.8500160902253981,0.2466325895894159,0.30165657594939294,25.000007032922376,0,540.0
6,0.0006000000000000001,load_step,sensorless_adaptive_foc_baseline,5.543987035746694,0.0,5.543987035746694,0.0,1.9408237717110035,0.0,1.9408237717110035,0.0,4,0,0,1,1,0,0,0.8415582888117733,0.39044552575702834,0.40981837075688965,25.000011131059196,0,540.0
7,0.0007,load_step,sensorless_adaptive_foc_baseline,6.467984875037811,0.0,6.467984875037811,0.0,2.13243378492905,0.0,2.13243378492905,0.0,4,0,0,1,1,0,0,0.8331846439283305,0.5260789059116343,0.5268393422141644,25.00001639937841,0,540.0
8,0.0008,load_step,sensorless_adaptive_foc_baseline,7.391982714328925,0.0,7.391982714328925,0.0,2.3081145036160002,0.0,2.3081145036160002,0.0,4,1,1,1,1,0,0,0.8706118290509374,0.5836505079515207,0.592784746236472,25.000022327116543,0,540.0
9,0.0009000000000000001,load_step,sensorless_adaptive_foc_baseline,8.315980553620042,0.0,8.315980553620042,0.0,2.1065196608647634,0.0,2.1065196608647634,0.0,0,0,0,1,1,0,0,0.8619485501960827,0.5002480284381626,0.7539968315569924,25.00002986693601,1,540.0
